City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Rio Gallegos,AR,-51.6226,-69.2181,60.08,25,3,9.33,clear sky
170,Bambous Virieux,MU,-20.3428,57.7575,71.22,77,39,6.89,scattered clouds
171,Tsabong,BW,-26.0217,22.401,73.8,20,0,6.64,clear sky
172,Tiksi,RU,71.6872,128.8694,-1.53,96,95,7.87,overcast clouds
173,Deogarh,IN,21.5333,84.7333,72.68,87,92,0.74,overcast clouds
174,Ponta Do Sol,PT,32.6667,-17.1,73.71,77,32,7.25,scattered clouds
175,Maputo,MZ,-25.9653,32.5892,64.22,88,100,8.01,moderate rain
176,Ancud,CL,-41.8697,-73.8203,62.13,47,0,2.39,clear sky
177,Aguimes,ES,27.9054,-15.4461,66.83,74,20,14.97,few clouds
178,Gweru,ZW,-19.45,29.8167,68.76,61,99,0.72,overcast clouds
179,Avera,US,33.194,-82.5271,64.27,61,100,14.45,overcast clouds
180,Honiara,SB,-9.4333,159.95,79.77,83,74,5.73,broken clouds
181,Murmansk,RU,68.0,34.0,31.35,100,100,1.57,light snow
182,Santa Lucia,ES,27.9117,-15.5407,61.92,73,20,14.97,few clouds
183,Nampa,US,43.5407,-116.5635,59.65,60,1,8.05,clear sky
184,Nanticoke,US,41.2054,-76.0049,61.93,85,98,1.01,overcast clouds
185,Gilgit,PK,35.9221,74.3087,50.23,48,0,4.99,clear sky
186,Hit,IQ,33.6416,42.8251,80.49,39,100,13.65,overcast clouds
187,Torbay,CA,47.6666,-52.7314,47.75,69,0,3.0,clear sky
188,Sorland,NO,67.667,12.6934,48.85,89,100,20.24,overcast clouds
189,Mahanoro,MG,-19.9,48.8,70.97,88,77,3.8,light rain
190,Lexington,US,37.9887,-84.4777,56.28,86,90,1.01,overcast clouds
191,Georgetown,MY,5.4112,100.3354,77.9,92,20,2.3,few clouds
192,Zaraza,VE,9.3503,-65.3245,80.04,84,100,4.94,overcast clouds
193,Miracema Do Tocantins,BR,-9.5618,-48.3967,93.09,36,65,2.66,broken clouds
194,Taybad,IR,34.74,60.7756,57.81,29,9,6.85,clear sky
195,Buchanan,LR,5.8808,-10.0467,76.96,89,94,2.24,moderate rain
196,Pangody,RU,65.85,74.4859,12.52,93,100,15.97,overcast clouds
197,Ribeira Grande,PT,38.5167,-28.7,70.2,83,75,12.66,broken clouds
198,Tura,IN,25.5198,90.2201,64.24,67,0,2.98,clear sky
199,Portland,US,45.5234,-122.6762,62.6,41,1,5.01,clear sky
200,Lorengau,PG,-2.0226,147.2712,81.63,79,83,6.78,broken clouds
201,Cherskiy,RU,68.75,161.3,-0.9,98,100,5.59,light snow
202,Minuri,PH,16.535,121.8574,70.11,95,49,0.83,scattered clouds
203,Buala,SB,-8.145,159.5921,81.07,81,92,8.55,overcast clouds
204,Muroto,JP,33.2833,134.15,64.09,88,100,12.44,overcast clouds
205,Luang Prabang,LA,19.8856,102.1347,69.71,99,78,1.1,broken clouds
206,Pacific Grove,US,36.6177,-121.9166,69.15,83,1,1.01,clear sky
207,Saint-Francois,FR,46.4154,3.9054,60.24,80,75,4.61,broken clouds
208,Casper,US,42.8666,-106.3131,40.71,77,90,8.01,overcast clouds
209,La Ronge,CA,55.1001,-105.2842,35.82,75,90,17.27,overcast clouds
210,Zhezkazgan,KZ,47.8043,67.7144,42.94,65,100,13.56,overcast clouds
211,Banda Aceh,ID,5.5577,95.3222,78.3,82,100,5.39,overcast clouds
212,San Cristobal,VE,7.7669,-72.225,72.99,87,99,3.6,light rain
